Title: The Spatial Structure of Young Stellar Clusters. I. Subclusters 
Authors: Kuhn M.A., Feigelson E.D., Getman K.V., Baddeley A.J., Broos P.S., 
         Sills A., Bate M.R., Povich M.S., Luhman K.L., Busk H.A., Naylor T., 
         King R.R. 
Table: Star Positions in the Statistical Sample
================================================================================
Byte-by-byte Description of file: stars_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units Label        Explanations
--------------------------------------------------------------------------------
   1-  7 A7     ---   target       MYStIX region name
   9- 26 A18    ---   designation  MPCM source designation (1)
  28- 38 F11.7  deg   RAdeg        Right Ascension in decimal degrees (J2000)
  40- 50 F11.7  deg   DEdeg        Declination in decimal degrees (J2000)
--------------------------------------------------------------------------------
Note (1): MPCM are MYStIX Probable Complex Members, which are defined by 
          Broos et al. (2013).
--------------------------------------------------------------------------------
orion   053506.50-051722.4  83.7771072  -5.2895689
orion   053506.52-052441.4  83.7771988  -5.4115100
orion   053506.55-052501.5  83.7773056  -5.4170928
orion   053506.50-052654.9  83.7770996  -5.4486098
orion   053506.58-053250.9  83.7774353  -5.5474739
orion   053506.67-052244.5  83.7778244  -5.3790379
orion   053506.60-052651.1  83.7775040  -5.4475489
orion   053506.89-052209.2  83.7787399  -5.3692369
orion   053506.93-052600.5  83.7788925  -5.4334888
orion   053507.06-052500.6  83.7794266  -5.4168429
orion   053507.17-051830.5  83.7798843  -5.3084879
orion   053507.28-052226.5  83.7803345  -5.3740492
orion   053507.39-052228.9  83.7808075  -5.3747211
orion   053507.43-052301.7  83.7809982  -5.3838258
orion   053507.40-052548.1  83.7808685  -5.4300361
orion   053507.45-052640.1  83.7810593  -5.4444962
orion   053507.55-051950.0  83.7814713  -5.3305650
orion   053507.74-052101.4  83.7822647  -5.3504071
orion   053507.73-052126.9  83.7822189  -5.3574791
orion   053507.71-052452.8  83.7821503  -5.4146819
orion   053507.88-051705.3  83.7828598  -5.2848201
orion   053507.85-052917.5  83.7827454  -5.4882159
orion   053507.99-052003.2  83.7833252  -5.3342409
orion   053507.96-052117.1  83.7831879  -5.3547530
orion   053508.03-053243.9  83.7834854  -5.5455341
orion   053508.12-053022.4  83.7838364  -5.5062351
orion   053508.23-052046.8  83.7843170  -5.3463502
orion   053508.24-052403.2  83.7843552  -5.4009008
orion   053508.27-052912.3  83.7844620  -5.4867511
orion   053508.30-051913.9  83.7846222  -5.3205462
orion   053508.31-051937.1  83.7846527  -5.3269949
orion   053508.30-052434.8  83.7846146  -5.4096918
orion   053508.35-052757.0  83.7848129  -5.4658360
orion   053508.43-052119.5  83.7851257  -5.3554292
orion   053508.42-052230.2  83.7850876  -5.3750582
orion   053508.44-052304.9  83.7851715  -5.3847122
orion   053508.40-052829.4  83.7850189  -5.4748340
orion   053508.58-052440.2  83.7857666  -5.4111810
orion   053508.52-052441.6  83.7855377  -5.4115739
orion   053508.54-052518.0  83.7855835  -5.4216819
orion   053508.66-051613.4  83.7861023  -5.2703938
orion   053508.61-051647.2  83.7858963  -5.2798042
orion   053508.60-052619.4  83.7858582  -5.4387469
orion   053508.74-052256.6  83.7864227  -5.3824110
orion   053508.70-052901.5  83.7862549  -5.4837699
orion   053508.86-051705.8  83.7869415  -5.2849579
orion   053508.87-053148.8  83.7869720  -5.5302439
orion   053508.93-051933.2  83.7872467  -5.3259072
orion   053509.06-052959.2  83.7877731  -5.4997778
orion   053509.15-051651.9  83.7881622  -5.2810898
orion   053509.21-053058.4  83.7883987  -5.5162449
orion   053509.34-052141.5  83.7889557  -5.3615298
orion   053509.48-052058.6  83.7895203  -5.3496270
orion   053509.50-052748.8  83.7896042  -5.4635711
orion   053509.66-052124.8  83.7902908  -5.3569021
orion   053509.68-052355.9  83.7903519  -5.3988791
orion   053509.65-052623.4  83.7902145  -5.4398508
orion   053509.60-052800.0  83.7900162  -5.4666901
orion   053509.60-052822.9  83.7900085  -5.4730511
orion   053509.77-052128.2  83.7907410  -5.3578510
orion   053509.77-052326.9  83.7907333  -5.3908181
orion   053509.86-051858.9  83.7910919  -5.3163791
orion   053509.86-051933.8  83.7910995  -5.3260670
orion   053509.82-052550.4  83.7909241  -5.4306822
orion   053509.84-052753.1  83.7910156  -5.4647741
orion   053509.90-052338.5  83.7912903  -5.3940411
orion   053510.02-051457.1  83.7917633  -5.2492099
orion   053510.04-051707.2  83.7918472  -5.2853489
orion   053510.02-051816.5  83.7917633  -5.3045931
orion   053510.03-052401.9  83.7917938  -5.4005280
orion   053510.18-051931.6  83.7924194  -5.3254709
orion   053510.15-052232.5  83.7922974  -5.3757019
orion   053510.16-052758.0  83.7923508  -5.4661131
orion   053510.21-051833.7  83.7925568  -5.3093710
orion   053510.20-052020.8  83.7925034  -5.3391352
orion   053510.27-052316.3  83.7927933  -5.3878641
orion   053510.22-052321.5  83.7925873  -5.3893180
orion   053510.31-051956.2  83.7929611  -5.3322921
orion   053510.32-052112.9  83.7930222  -5.3535900
orion   053510.38-052451.5  83.7932663  -5.4143090
orion   053510.36-052903.3  83.7931671  -5.4842510
orion   053510.30-053237.0  83.7929459  -5.5436358
orion   053510.43-052134.5  83.7934723  -5.3595872
orion   053510.46-052149.4  83.7936172  -5.3637371
orion   053510.45-052223.2  83.7935562  -5.3731370
orion   053510.49-052245.7  83.7937469  -5.3793731
orion   053510.48-052600.3  83.7936859  -5.4334378
